feature;importance
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN;0.00013094566012815867
CC_COUNT;0.00012995792222217337
CC_AMT_INST_MIN_REGULARITY_MEAN;0.00012857948209208254
APPROVED_AMT_GOODS_PRICE_MAX;0.00012613200899954405
ACTIVE_DAYS_CREDIT_MAX;0.00012464562617190702
POS_NAME_CONTRACT_STATUS_Signed_MEAN;0.0001206651512211532
CC_AMT_BALANCE_MEAN;0.00011650579461462904
APPROVED_AMT_DOWN_PAYMENT_MAX;0.00011403162029474094
CC_CNT_DRAWINGS_ATM_CURRENT_SUM;0.00011341466331589376
CC_AMT_PAYMENT_CURRENT_VAR;0.00011315547338802343
POS_NAME_CONTRACT_STATUS_Approved_MEAN;0.00011241825248678593
CC_AMT_DRAWINGS_CURRENT_MAX;0.00010871759180359065
PREV_PRODUCT_COMBINATION_Cash_MEAN;0.00010708201514943087
CC_CNT_INSTALMENT_MATURE_CUM_VAR;0.00010678351917951914
CC_AMT_TOTAL_RECEIVABLE_VAR;0.0001048171947533528
APPROVED_AMT_APPLICATION_MEAN;0.00010230400013686483
CC_NAME_CONTRACT_STATUS_Completed_SUM;0.00010182965367318211
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN;0.0001014589603829976
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN;9.9591343815137e-05
CLOSED_DAYS_CREDIT_MAX;9.814049557562763e-05
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN;9.769391935906413e-05
CC_AMT_INST_MIN_REGULARITY_VAR;9.487457855173092e-05
CC_AMT_DRAWINGS_CURRENT_MEAN;9.471733476684758e-05
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN;9.057035570331197e-05
POS_SK_DPD_DEF_MAX;8.927007507823392e-05
CC_AMT_BALANCE_SUM;8.737753487712766e-05
ACTIVE_DAYS_CREDIT_MIN;8.548026963474227e-05
REFUSED_AMT_GOODS_PRICE_MAX;8.485110729897666e-05
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM;8.441903003898369e-05
ACTIVE_DAYS_CREDIT_ENDDATE_MAX;8.367079728187288e-05
REFUSED_HOUR_APPR_PROCESS_START_MAX;8.120427355611692e-05
POS_SK_DPD_MAX;8.027364963466106e-05
